RA_OBJ DEC_OBJ KEPLERID Quarter EXPOSURE CLUSTER mmd_flux mmd_mag
290.09967041015625 37.77855682373047 2436080 17.0 24.456802368164062 "NGC 6791" 0.002881951630115509 0.0031295474618673325
290.1001892089844 37.793067932128906 2436083 17.0 24.456802368164062 "NGC 6791" 0.0033082931768149137 0.003592234803363681
290.1012878417969 37.79485321044922 2436094 17.0 24.456802368164062 "NGC 6791" 0.0036710549611598253 0.003986794967204332
290.1016540527344 37.784610748291016 2436096 17.0 24.456802368164062 "NGC 6791" 0.004691543988883495 0.005096030421555042
290.1019592285156 37.77054977416992 2436097 17.0 24.456802368164062 "NGC 6791" 0.0004931073053739965 0.0005353702581487596
290.1029357910156 37.760498046875 2436098 17.0 24.456802368164062 "NGC 6791" 0.002110046800225973 0.0022905359510332346
290.10321044921875 37.75133514404297 2436102 17.0 24.456802368164062 "NGC 6791" 0.0031717002857476473 0.003443074179813266
290.1037902832031 37.75845718383789 2436106 17.0 24.456802368164062 "NGC 6791" 0.0018560622120276093 0.0020153543446213007
290.1043701171875 37.79437255859375 2436110 17.0 24.456802368164062 "NGC 6791" 0.008841130882501602 0.00959410797804594
290.10845947265625 37.761932373046875 2436131 17.0 24.456802368164062 "NGC 6791" 0.0026855163741856813 0.002915589604526758
290.1113586425781 37.75062942504883 2436148 17.0 24.456802368164062 "NGC 6791" 0.0010784966871142387 0.0011710466351360083
290.1123046875 37.758426666259766 2436156 17.0 24.456802368164062 "NGC 6791" 0.0025285729207098484 0.0027458141557872295
290.1123352050781 37.77852249145508 2436157 17.0 24.456802368164062 "NGC 6791" 0.006085537374019623 0.006603967398405075
290.1129150390625 37.726749420166016 2436160 17.0 24.456802368164062 "NGC 6791" 0.001956616062670946 0.002124470192939043
290.114501953125 37.7584114074707 2436171 17.0 24.456802368164062 "NGC 6791" 0.002492576139047742 0.0027073915116488934
290.1148681640625 37.75650405883789 2436175 17.0 24.456802368164062 "NGC 6791" 0.0031505944207310677 0.0034218726214021444
290.1153564453125 37.740238189697266 2436178 17.0 24.456802368164062 "NGC 6791" 0.0016026330413296819 0.0017398730851709843
290.11846923828125 37.77783203125 2436194 17.0 24.456802368164062 "NGC 6791" 0.0042193615809082985 0.004581707529723644
290.1186218261719 37.74409103393555 2436196 17.0 24.456802368164062 "NGC 6791" 0.001308912644162774 0.0014209056971594691
290.1188659667969 37.72507858276367 2436202 17.0 24.456804275512695 "NGC 6791" 0.005918008740991354 0.006423845887184143
290.1192626953125 37.797977447509766 2436208 17.0 24.456802368164062 "NGC 6791" 0.0027930268552154303 0.0030333297327160835
290.1195983886719 37.72138214111328 2436209 17.0 24.456804275512695 "NGC 6791" 0.0004803358460776508 0.0005215434939600527
290.11981201171875 37.73278045654297 2436211 17.0 24.456802368164062 "NGC 6791" 0.002068005735054612 0.002245489042252302
290.1200866699219 37.77519989013672 2436214 17.0 24.456802368164062 "NGC 6791" 0.004752811975777149 0.005164156202226877
290.120361328125 37.74445343017578 2436217 17.0 24.456802368164062 "NGC 6791" 0.0011143704177811742 0.0012100888416171074
290.1219177246094 37.79167556762695 2436229 17.0 24.456802368164062 "NGC 6791" 0.002982033882290125 0.0032365056686103344
290.1230163574219 37.77851867675781 2436235 17.0 24.456802368164062 "NGC 6791" 0.00465996703132987 0.005060260184109211
290.1230773925781 37.76589584350586 2436236 17.0 24.456802368164062 "NGC 6791" 0.0026778397150337696 0.0029088277369737625
290.123779296875 37.76245880126953 2436239 17.0 24.456802368164062 "NGC 6791" 0.0036888697650283575 0.004006751347333193
290.1241760253906 37.75984573364258 2436241 17.0 24.456802368164062 "NGC 6791" 0.0022818080615252256 0.002477454487234354
290.1245422363281 37.73106002807617 2436242 17.0 24.456802368164062 "NGC 6791" 0.01004805974662304 0.010904722847044468
290.12481689453125 37.777610778808594 2436243 17.0 24.456802368164062 "NGC 6791" 0.004422225523740053 0.004801133181899786
290.12567138671875 37.764381408691406 2436253 17.0 24.456802368164062 "NGC 6791" 0.0030409027822315693 0.0033018868416547775
290.1256408691406 37.7742919921875 2436254 17.0 24.456802368164062 "NGC 6791" 0.0033052186481654644 0.0035892620217055082
290.1263122558594 37.782596588134766 2436256 17.0 24.456802368164062 "NGC 6791" 0.00268685189075768 0.002917060162872076
290.1268615722656 37.73442077636719 2436261 17.0 24.456802368164062 "NGC 6791" 0.002020342508330941 0.002193936612457037
290.127197265625 37.787166595458984 2436262 17.0 24.456802368164062 "NGC 6791" 0.003061973722651601 0.003325148019939661
290.1271667480469 37.76610565185547 2436265 17.0 24.456802368164062 "NGC 6791" 0.003578714793547988 0.0038844074588268995
290.1271057128906 37.79336166381836 2436266 17.0 24.456802368164062 "NGC 6791" 0.004361951723694801 0.0047358679585158825
290.1274108886719 37.77329635620117 2436268 17.0 24.456802368164062 "NGC 6791" 0.003418667009100318 0.003711281344294548
290.1277160644531 37.754791259765625 2436269 17.0 24.456802368164062 "NGC 6791" 0.0017824179958552122 0.0019350632792338729
290.12774658203125 37.771087646484375 2436270 17.0 24.456802368164062 "NGC 6791" 0.002604108303785324 0.002827004762366414
290.1280517578125 37.7276611328125 2436272 17.0 24.456804275512695 "NGC 6791" 0.0029879321809858084 0.003244421212002635
290.1298522949219 37.72440719604492 2436281 17.0 24.456804275512695 "NGC 6791" 0.0026102394331246614 0.0028346781618893147
290.13037109375 37.769901275634766 2436283 17.0 24.456802368164062 "NGC 6791" 0.003043246688321233 0.0033041955903172493
290.1302490234375 37.77522277832031 2436285 17.0 24.456802368164062 "NGC 6791" 0.0034775566309690475 0.0037753707729279995
290.1306457519531 37.786678314208984 2436288 17.0 24.456802368164062 "NGC 6791" 0.004803948570042849 0.005215993616729975
